0.210267 5.18835e-08 1.2485e-09
0.605133 5.07447e-08 1.44091e-09
1 4.95647e-08 4.43386e-09
1.39487 5.00578e-08 3.92695e-09
1.78973 4.99202e-08 4.1238e-09
2.1846 4.85493e-08 2.48174e-09
2.57947 4.86227e-08 2.69695e-09
2.97433 4.88004e-08 3.20579e-09
3.3692 4.87566e-08 2.6713e-09
3.76407 4.90141e-08 3.20475e-09
4.15893 4.97108e-08 2.21943e-09
4.5538 5.02391e-08 3.84582e-09
4.94867 4.97387e-08 2.44885e-09
5.34353 4.98291e-08 3.10572e-09
5.7384 4.99812e-08 2.85255e-09
6.13327 4.98233e-08 2.25138e-09
6.52813 4.97542e-08 2.14257e-09
6.923 4.97645e-08 2.04693e-09
7.31787 4.9886e-08 4.12507e-09
7.71273 4.96825e-08 1.55854e-09
8.1076 4.86111e-08 1.4188e-09
8.50247 4.86854e-08 1.50174e-09
8.89733 4.86894e-08 1.53541e-09
9.2922 4.86513e-08 1.3611e-09
9.68707 4.86199e-08 1.17579e-09
10.0819 4.87274e-08 1.57793e-09
10.4768 4.86094e-08 1.19465e-09
10.8717 4.86517e-08 1.34653e-09
11.2665 5.06639e-08 7.35134e-09
11.6614 4.98397e-08 2.09828e-09
12.0563 4.931e-08 8.07989e-09
